season,week,reason,n_rows_affected
1,3,latent_missing_flag==1 (no latent match),1
1,4,fan_ci_invalid_flag==1 (fan_se<=0 or NA),4
1,4,latent_missing_flag==1 (no latent match),2
1,5,latent_missing_flag==1 (no latent match),3
1,6,latent_missing_flag==1 (no latent match),4
2,2,latent_missing_flag==1 (no latent match),1
2,3,latent_missing_flag==1 (no latent match),2
2,4,latent_missing_flag==1 (no latent match),3
2,5,latent_missing_flag==1 (no latent match),4
2,6,latent_missing_flag==1 (no latent match),5
2,7,latent_missing_flag==1 (no latent match),6
2,8,latent_missing_flag==1 (no latent match),7
3,2,latent_missing_flag==1 (no latent match),1
3,3,latent_missing_flag==1 (no latent match),2
3,4,latent_missing_flag==1 (no latent match),3
3,5,latent_missing_flag==1 (no latent match),4
3,6,latent_missing_flag==1 (no latent match),6
3,7,latent_missing_flag==1 (no latent match),6
3,8,latent_missing_flag==1 (no latent match),7
3,9,latent_missing_flag==1 (no latent match),8
3,10,latent_missing_flag==1 (no latent match),9
4,3,latent_missing_flag==1 (no latent match),1
4,4,latent_missing_flag==1 (no latent match),2
4,5,latent_missing_flag==1 (no latent match),3
4,6,latent_missing_flag==1 (no latent match),4
4,7,latent_missing_flag==1 (no latent match),5
4,8,latent_missing_flag==1 (no latent match),6
4,9,latent_missing_flag==1 (no latent match),7
4,10,latent_missing_flag==1 (no latent match),8
5,2,latent_missing_flag==1 (no latent match),1
5,3,latent_missing_flag==1 (no latent match),2
5,4,latent_missing_flag==1 (no latent match),3
5,5,latent_missing_flag==1 (no latent match),4
5,6,latent_missing_flag==1 (no latent match),5
5,7,latent_missing_flag==1 (no latent match),6
5,8,latent_missing_flag==1 (no latent match),7
5,9,latent_missing_flag==1 (no latent match),8
5,10,latent_missing_flag==1 (no latent match),9
6,3,latent_missing_flag==1 (no latent match),2
6,4,latent_missing_flag==1 (no latent match),3
6,5,latent_missing_flag==1 (no latent match),4
6,6,latent_missing_flag==1 (no latent match),5
6,7,latent_missing_flag==1 (no latent match),6
6,8,latent_missing_flag==1 (no latent match),7
6,9,latent_missing_flag==1 (no latent match),8
6,10,latent_missing_flag==1 (no latent match),9
7,2,latent_missing_flag==1 (no latent match),2
7,3,latent_missing_flag==1 (no latent match),4
7,4,latent_missing_flag==1 (no latent match),4
7,5,latent_missing_flag==1 (no latent match),5
7,6,latent_missing_flag==1 (no latent match),6
7,7,latent_missing_flag==1 (no latent match),7
