season,celebrity_name,ballroom_partner,celebrity_age_during_season,celebrity_industry,placement,Tmax_season,exit_week,do_well_main,max_placement_season,do_well_alt_place
1,Evander Holyfield,Edyta Sliwinska,42,Sports,5,6,3,0.4,6,0.19999999999999996
1,Joey McIntyre,Ashly DelGrosso,32,Music,3,6,6,1.0,6,0.6
1,John O'Hurley,Charlotte Jorgensen,50,Entertainment,2,6,6,1.0,6,0.8
1,Kelly Monaco,Alec Mazo,29,Entertainment,1,6,6,1.0,6,1.0
1,Rachel Hunter,Jonathan Roberts,35,Fashion,4,6,4,0.6,6,0.4
1,Trista Sutter,Louis van Amstel,32,Media,6,6,2,0.2,6,0.0
2,Drew Lachey,Cheryl Burke,29,Music,1,8,8,1.0,10,1.0
2,George Hamilton,Edyta Sliwinska,66,Entertainment,5,8,6,0.7142857142857143,10,0.5555555555555556
2,Giselle Fernandez,Jonathan Roberts,44,Other,8,8,3,0.2857142857142857,10,0.2222222222222222
2,Jerry Rice,Anna Trebunskaya,43,Sports,2,8,8,1.0,10,0.8888888888888888
2,Kenny Mayne,Andrea Hale,46,Other,10,8,1,0.0,10,0.0
2,Lisa Rinna,Louis van Amstel,42,Entertainment,4,8,7,0.8571428571428571,10,0.6666666666666667
2,Master P,Ashly DelGrosso,35,Music,7,8,4,0.42857142857142855,10,0.33333333333333337
2,Stacy Keibler,Tony Dovolani,26,Sports,3,8,8,1.0,10,0.7777777777777778
2,Tatum O'Neal,Nick Kosovich,42,Entertainment,9,8,2,0.14285714285714285,10,0.11111111111111116
2,Tia Carrere,Maksim Chmerkoskiy,39,Entertainment,6,8,5,0.5714285714285714,10,0.4444444444444444
3,Emmitt Smith,Cheryl Burke,37,Sports,1,10,10,1.0,11,1.0
3,Harry Hamlin,Ashly DelGrosso,54,Entertainment,9,10,3,0.2222222222222222,11,0.19999999999999996
3,Jerry Springer,Kym Johnson,62,Media,5,10,7,0.6666666666666666,11,0.6
3,Joey Lawrence,Edyta Sliwinska,30,Entertainment,3,10,10,1.0,11,0.8
3,Mario Lopez,Karina Smirnoff,32,Entertainment,2,10,10,1.0,11,0.9
3,Monique Coleman,Louis van Amstel,25,Entertainment,4,10,8,0.7777777777777778,11,0.7
3,Sara Evans,Tony Dovolani,35,Music,6,10,10,1.0,11,0.5
3,Shanna Moakler,Jesse DeSoto,31,Fashion,10,10,2,0.1111111111111111,11,0.09999999999999998
3,Tucker Carlson,Elena Grinenko,37,Media,11,10,1,0.0,11,0.0
3,Vivica A. Fox,Nick Kosovich,42,Entertainment,8,10,4,0.3333333333333333,11,0.30000000000000004
3,Willa Ford,Maksim Chmerkoskiy,25,Music,7,10,5,0.4444444444444444,11,0.4
4,Apolo Anton Ohno,Julianne Hough,24,Sports,1,10,10,1.0,11,1.0
4,Billy Ray Cyrus,Karina Smirnoff,45,Music,5,10,8,0.7777777777777778,11,0.6
4,Clyde Drexler,Elena Grinenko,44,Sports,8,10,5,0.4444444444444444,11,0.30000000000000004
4,Heather Mills,Jonathan Roberts,39,Fashion,7,10,6,0.5555555555555556,11,0.4
4,Ian Ziering,Cheryl Burke,42,Entertainment,4,10,9,0.8888888888888888,11,0.7
4,Joey Fatone,Kym Johnson,30,Music,2,10,10,1.0,11,0.9
