term,effect,se,ci_low,ci_high,outcome,factor_type,factor_level,effect_type
Intercept,1.1528947841945894,0.19412496891095948,0.770972354830505,1.5348172135586737,do_well_main,other,Intercept,raw_coef
C(ballroom_partner)[T.Alan Bersten (Rashad Jennings week 9)],0.6927084824625177,0.3418083613727832,0.020233012229073477,1.365183952695962,do_well_main,pro_dancer,Alan Bersten (Rashad Jennings week 9),raw_coef
C(ballroom_partner)[T.Alec Mazo],-0.16753520069808925,0.18922600001069484,-0.5398193742815565,0.20474897288537802,do_well_main,pro_dancer,Alec Mazo,raw_coef
C(ballroom_partner)[T.Allison Holker],0.01034297269386523,0.19077850578217148,-0.3649956084661775,0.385681553853908,do_well_main,pro_dancer,Allison Holker,raw_coef
C(ballroom_partner)[T.Andrea Hale],-0.651488256862187,0.3484671170645856,-1.3370641961626557,0.03408768243828153,do_well_main,pro_dancer,Andrea Hale,raw_coef
C(ballroom_partner)[T.Anna Demidova],0.1693193494489311,0.3362856261315768,-0.4922906640022706,0.8309293629001329,do_well_main,pro_dancer,Anna Demidova,raw_coef
C(ballroom_partner)[T.Anna Trebunskaya],-0.04287852833244246,0.15336733151915566,-0.3446141791736773,0.25885712250879234,do_well_main,pro_dancer,Anna Trebunskaya,raw_coef
C(ballroom_partner)[T.Artem Chigvintsev],0.06032906021440806,0.136821743306335,-0.20885471808333825,0.32951283851215435,do_well_main,pro_dancer,Artem Chigvintsev,raw_coef
C(ballroom_partner)[T.Ashly DelGrosso],-0.1077772110870484,0.20590350639247965,-0.5128727936757519,0.29731837150165513,do_well_main,pro_dancer,Ashly DelGrosso,raw_coef
C(ballroom_partner)[T.Brandon Armstrong],-0.05733399640556926,0.14837969023454,-0.3492569369761807,0.23458894416504222,do_well_main,pro_dancer,Brandon Armstrong,raw_coef
C(ballroom_partner)[T.Brian Fortuna],-0.650151105868753,0.3482599617851075,-1.3353194868420382,0.03501727510453212,do_well_main,pro_dancer,Brian Fortuna,raw_coef
C(ballroom_partner)[T.Britt Stewart],-0.0971431922964513,0.16495096171541934,-0.42166853479987204,0.22738215020696945,do_well_main,pro_dancer,Britt Stewart,raw_coef
C(ballroom_partner)[T.Charlotte Jorgensen],0.3120258464247738,0.3589154216376689,-0.39410613926001203,1.0181578321095597,do_well_main,pro_dancer,Charlotte Jorgensen,raw_coef
C(ballroom_partner)[T.Chelsie Hightower],-0.03410089892160548,0.16702096364969168,-0.3626987735261814,0.2944969756829705,do_well_main,pro_dancer,Chelsie Hightower,raw_coef
C(ballroom_partner)[T.Cheryl Burke],0.21863094951198137,0.12788294701875752,-0.032966596510265456,0.4702284955342282,do_well_main,pro_dancer,Cheryl Burke,raw_coef
C(ballroom_partner)[T.Corky Ballas],0.32072449571360695,0.26252535904746077,-0.19576920141132903,0.8372181928385429,do_well_main,pro_dancer,Corky Ballas,raw_coef
C(ballroom_partner)[T.Damian Whitewood],0.4520471123303859,0.3511020290588622,-0.23871276593301044,1.1428069905937823,do_well_main,pro_dancer,Damian Whitewood,raw_coef
C(ballroom_partner)[T.Daniella Karagach],0.1806966300165499,0.17143880038405743,-0.15659291855242358,0.5179861785855233,do_well_main,pro_dancer,Daniella Karagach,raw_coef
C(ballroom_partner)[T.Daniella Karagach (Rumer Willis week 9)],0.521664467721779,0.34239453653406426,-0.15196424643945705,1.195293181883015,do_well_main,pro_dancer,Daniella Karagach (Rumer Willis week 9),raw_coef
C(ballroom_partner)[T.Derek Hough],0.33607593129465413,0.13611064283613128,0.06829117559882114,0.6038606869904871,do_well_main,pro_dancer,Derek Hough,raw_coef
C(ballroom_partner)[T.Dmitry Chaplin],0.059057495197607196,0.21819827402233208,-0.3702268743771431,0.4883418647723575,do_well_main,pro_dancer,Dmitry Chaplin,raw_coef
C(ballroom_partner)[T.Edyta Sliwinska],-0.07290654655043591,0.15522202174556884,-0.3782911241678777,0.2324780310670059,do_well_main,pro_dancer,Edyta Sliwinska,raw_coef
C(ballroom_partner)[T.Elena Grinenko],-0.48903727245187223,0.2571997506285437,-0.9950533410851969,0.016978796181452482,do_well_main,pro_dancer,Elena Grinenko,raw_coef
C(ballroom_partner)[T.Emma Slater],0.08414401513384866,0.13023575585962074,-0.17208245870419053,0.3403704889718879,do_well_main,pro_dancer,Emma Slater,raw_coef
C(ballroom_partner)[T.Emma Slater/Kaitlyn Bristowe (week 9)],0.5299021329120656,0.3422983461597489,-0.14353733582831574,1.203341601652447,do_well_main,pro_dancer,Emma Slater/Kaitlyn Bristowe (week 9),raw_coef
C(ballroom_partner)[T.Ezra Sosa],-0.5812579696233734,0.33656972759586656,-1.243426925708468,0.08091098646172112,do_well_main,pro_dancer,Ezra Sosa,raw_coef
C(ballroom_partner)[T.Ezra Sosa (Apolo Anton Ohno week 9)],0.44512933580847874,0.3417847123738078,-0.22729960726675708,1.1175582788837146,do_well_main,pro_dancer,Ezra Sosa (Apolo Anton Ohno week 9),raw_coef
C(ballroom_partner)[T.Fabian Sanchez],0.01697947518795792,0.33644592916050975,-0.6449459192396734,0.6789048696155893,do_well_main,pro_dancer,Fabian Sanchez,raw_coef
C(ballroom_partner)[T.Gleb Savchenko],-0.07112258360981462,0.13243002414341543,-0.33166607178312885,0.18942090456349964,do_well_main,pro_dancer,Gleb Savchenko,raw_coef
C(ballroom_partner)[T.Henry Byalikov],0.6108675473005868,0.3386290774062215,-0.05535298384408682,1.2770880784452605,do_well_main,pro_dancer,Henry Byalikov,raw_coef
C(ballroom_partner)[T.Inna Brayer],-0.4817799914810912,0.33750309459214217,-1.1457852584369905,0.18222527547480805,do_well_main,pro_dancer,Inna Brayer,raw_coef
C(ballroom_partner)[T.Jan Ravnik],0.056575579435071764,0.34240987040456095,-0.6170833026592463,0.7302344615293898,do_well_main,pro_dancer,Jan Ravnik,raw_coef
C(ballroom_partner)[T.Jenna Johnson],0.04738218074399401,0.14406825395816047,-0.2360584186524711,0.3308227801404591,do_well_main,pro_dancer,Jenna Johnson,raw_coef
C(ballroom_partner)[T.Jesse DeSoto],-0.3299086250162058,0.3516724812141596,-1.0217908136872196,0.361973563654808,do_well_main,pro_dancer,Jesse DeSoto,raw_coef
C(ballroom_partner)[T.Jonathan Roberts],-0.12843566921284175,0.1736051087794437,-0.46998722369357004,0.21311588526788658,do_well_main,pro_dancer,Jonathan Roberts,raw_coef
C(ballroom_partner)[T.Julianne Hough],0.1040875122523391,0.18669895782251694,-0.26322494596123613,0.4713999704659143,do_well_main,pro_dancer,Julianne Hough,raw_coef
C(ballroom_partner)[T.Karina Smirnoff],0.00038695993187178306,0.13691590782483368,-0.2689820781079194,0.26975599797166294,do_well_main,pro_dancer,Karina Smirnoff,raw_coef
C(ballroom_partner)[T.Keo Motsepe],-0.1355934184300522,0.14875615778290194,-0.4282570231277656,0.1570701862676612,do_well_main,pro_dancer,Keo Motsepe,raw_coef
C(ballroom_partner)[T.Koko Iwasaki],-0.19877507179839607,0.24202192685868254,-0.6749302144562264,0.27738007085943417,do_well_main,pro_dancer,Koko Iwasaki,raw_coef
C(ballroom_partner)[T.Kym Herjavec],-0.0441032853917056,0.3355967409553085,-0.7043579827207759,0.6161514119373647,do_well_main,pro_dancer,Kym Herjavec,raw_coef
C(ballroom_partner)[T.Kym Johnson],0.10928013093840393,0.14561144281225058,-0.17719654588503042,0.3957568077618383,do_well_main,pro_dancer,Kym Johnson,raw_coef
C(ballroom_partner)[T.Lacey Schwimmer],0.06046983942522768,0.17459105347284196,-0.28302146754913277,0.4039611463995881,do_well_main,pro_dancer,Lacey Schwimmer,raw_coef
C(ballroom_partner)[T.Lindsay Arnold],0.14511796132940552,0.1447911712421667,-0.13974490912722176,0.4299808317860328,do_well_main,pro_dancer,Lindsay Arnold,raw_coef
C(ballroom_partner)[T.Louis van Amstel],-0.033621239724075346,0.151891251957988,-0.33245284429502125,0.2652103648468706,do_well_main,pro_dancer,Louis van Amstel,raw_coef
C(ballroom_partner)[T.Maksim Chmerkoskiy],0.14790547889940475,0.13774964658827304,-0.1231038609303835,0.418914818729193,do_well_main,pro_dancer,Maksim Chmerkoskiy,raw_coef
C(ballroom_partner)[T.Mark Ballas],0.06003043173315546,0.12959506508962337,-0.1949355438973565,0.31499640736366746,do_well_main,pro_dancer,Mark Ballas,raw_coef
C(ballroom_partner)[T.Nick Kosovich],-0.46955616908823283,0.25771678201809545,-0.9765894478489454,0.03747710967247975,do_well_main,pro_dancer,Nick Kosovich,raw_coef
C(ballroom_partner)[T.Pasha Pashkov],-0.11256682084958648,0.1566090019836146,-0.4206801502858496,0.19554650858667666,do_well_main,pro_dancer,Pasha Pashkov,raw_coef
C(ballroom_partner)[T.Peta Murgatroyd],0.03817433181966871,0.13388844155827329,-0.22523845402943746,0.3015871176687749,do_well_main,pro_dancer,Peta Murgatroyd,raw_coef
C(ballroom_partner)[T.Rylee Arnold],0.11016488656898825,0.20917045799856895,-0.3013581128585292,0.5216878859965057,do_well_main,pro_dancer,Rylee Arnold,raw_coef
C(ballroom_partner)[T.Sasha Farber],0.21482254109077498,0.13487189315423623,-0.05052509231966906,0.480170174501219,do_well_main,pro_dancer,Sasha Farber,raw_coef
