season,week,celebrity_name,latent_missing_flag
1,1,Evander Holyfield,0
1,2,Evander Holyfield,0
1,3,Evander Holyfield,0
1,4,Evander Holyfield,1
1,5,Evander Holyfield,1
1,6,Evander Holyfield,1
1,1,Joey McIntyre,0
1,2,Joey McIntyre,0
1,3,Joey McIntyre,0
1,4,Joey McIntyre,0
1,5,Joey McIntyre,0
1,6,Joey McIntyre,1
1,1,John O'Hurley,0
1,2,John O'Hurley,0
1,3,John O'Hurley,0
1,4,John O'Hurley,0
1,5,John O'Hurley,0
1,6,John O'Hurley,0
1,1,Kelly Monaco,0
1,2,Kelly Monaco,0
1,3,Kelly Monaco,0
1,4,Kelly Monaco,0
1,5,Kelly Monaco,0
1,6,Kelly Monaco,0
1,1,Rachel Hunter,0
1,2,Rachel Hunter,0
1,3,Rachel Hunter,0
1,4,Rachel Hunter,0
1,5,Rachel Hunter,1
1,6,Rachel Hunter,1
1,1,Trista Sutter,0
1,2,Trista Sutter,0
1,3,Trista Sutter,1
1,4,Trista Sutter,1
1,5,Trista Sutter,1
1,6,Trista Sutter,1
2,1,Drew Lachey,0
2,2,Drew Lachey,0
2,3,Drew Lachey,0
2,4,Drew Lachey,0
2,5,Drew Lachey,0
2,6,Drew Lachey,0
2,7,Drew Lachey,0
2,8,Drew Lachey,0
2,1,George Hamilton,0
2,2,George Hamilton,0
2,3,George Hamilton,0
2,4,George Hamilton,0
2,5,George Hamilton,0
2,6,George Hamilton,0
2,7,George Hamilton,1
2,8,George Hamilton,1
2,1,Giselle Fernandez,0
2,2,Giselle Fernandez,0
2,3,Giselle Fernandez,0
2,4,Giselle Fernandez,1
2,5,Giselle Fernandez,1
2,6,Giselle Fernandez,1
2,7,Giselle Fernandez,1
2,8,Giselle Fernandez,1
2,1,Jerry Rice,0
2,2,Jerry Rice,0
2,3,Jerry Rice,0
2,4,Jerry Rice,0
2,5,Jerry Rice,0
2,6,Jerry Rice,0
2,7,Jerry Rice,0
2,8,Jerry Rice,0
2,1,Kenny Mayne,0
2,2,Kenny Mayne,1
2,3,Kenny Mayne,1
2,4,Kenny Mayne,1
2,5,Kenny Mayne,1
2,6,Kenny Mayne,1
2,7,Kenny Mayne,1
2,8,Kenny Mayne,1
2,1,Lisa Rinna,0
2,2,Lisa Rinna,0
2,3,Lisa Rinna,0
2,4,Lisa Rinna,0
2,5,Lisa Rinna,0
2,6,Lisa Rinna,0
2,7,Lisa Rinna,0
2,8,Lisa Rinna,1
2,1,Master P,0
2,2,Master P,0
2,3,Master P,0
2,4,Master P,0
2,5,Master P,1
2,6,Master P,1
2,7,Master P,1
2,8,Master P,1
2,1,Stacy Keibler,0
2,2,Stacy Keibler,0
2,3,Stacy Keibler,0
2,4,Stacy Keibler,0
2,5,Stacy Keibler,0
2,6,Stacy Keibler,0
2,7,Stacy Keibler,0
2,8,Stacy Keibler,0
2,1,Tatum O'Neal,0
2,2,Tatum O'Neal,0
2,3,Tatum O'Neal,1
2,4,Tatum O'Neal,1
2,5,Tatum O'Neal,1
2,6,Tatum O'Neal,1
2,7,Tatum O'Neal,1
2,8,Tatum O'Neal,1
2,1,Tia Carrere,0
2,2,Tia Carrere,0
2,3,Tia Carrere,0
2,4,Tia Carrere,0
2,5,Tia Carrere,0
2,6,Tia Carrere,1
2,7,Tia Carrere,1
2,8,Tia Carrere,1
3,1,Emmitt Smith,0
3,2,Emmitt Smith,0
3,3,Emmitt Smith,0
3,4,Emmitt Smith,0
3,5,Emmitt Smith,0
3,6,Emmitt Smith,0
3,7,Emmitt Smith,0
3,8,Emmitt Smith,0
3,9,Emmitt Smith,0
3,10,Emmitt Smith,0
3,1,Harry Hamlin,0
3,2,Harry Hamlin,0
3,3,Harry Hamlin,0
3,4,Harry Hamlin,1
3,5,Harry Hamlin,1
3,6,Harry Hamlin,1
3,7,Harry Hamlin,1
3,8,Harry Hamlin,1
3,9,Harry Hamlin,1
3,10,Harry Hamlin,1
3,1,Jerry Springer,0
3,2,Jerry Springer,0
3,3,Jerry Springer,0
3,4,Jerry Springer,0
3,5,Jerry Springer,0
3,6,Jerry Springer,0
3,7,Jerry Springer,0
3,8,Jerry Springer,1
3,9,Jerry Springer,1
3,10,Jerry Springer,1
3,1,Joey Lawrence,0
3,2,Joey Lawrence,0
3,3,Joey Lawrence,0
3,4,Joey Lawrence,0
3,5,Joey Lawrence,0
3,6,Joey Lawrence,0
3,7,Joey Lawrence,0
3,8,Joey Lawrence,0
3,9,Joey Lawrence,0
3,10,Joey Lawrence,1
3,1,Mario Lopez,0
3,2,Mario Lopez,0
3,3,Mario Lopez,0
3,4,Mario Lopez,0
3,5,Mario Lopez,0
3,6,Mario Lopez,0
3,7,Mario Lopez,0
3,8,Mario Lopez,0
3,9,Mario Lopez,0
3,10,Mario Lopez,0
3,1,Monique Coleman,0
3,2,Monique Coleman,0
3,3,Monique Coleman,0
3,4,Monique Coleman,0
3,5,Monique Coleman,0
3,6,Monique Coleman,0
3,7,Monique Coleman,0
3,8,Monique Coleman,0
3,9,Monique Coleman,1
3,10,Monique Coleman,1
3,1,Sara Evans,0
3,2,Sara Evans,0
3,3,Sara Evans,0
3,4,Sara Evans,0
3,5,Sara Evans,0
3,6,Sara Evans,1
3,7,Sara Evans,1
3,8,Sara Evans,1
3,9,Sara Evans,1
3,10,Sara Evans,1
3,1,Shanna Moakler,0
3,2,Shanna Moakler,0
3,3,Shanna Moakler,1
3,4,Shanna Moakler,1
3,5,Shanna Moakler,1
3,6,Shanna Moakler,1
3,7,Shanna Moakler,1
3,8,Shanna Moakler,1
3,9,Shanna Moakler,1
3,10,Shanna Moakler,1
3,1,Tucker Carlson,0
3,2,Tucker Carlson,1
3,3,Tucker Carlson,1
3,4,Tucker Carlson,1
3,5,Tucker Carlson,1
3,6,Tucker Carlson,1
3,7,Tucker Carlson,1
3,8,Tucker Carlson,1
3,9,Tucker Carlson,1
3,10,Tucker Carlson,1
3,1,Vivica A. Fox,0
3,2,Vivica A. Fox,0
3,3,Vivica A. Fox,0
3,4,Vivica A. Fox,0
3,5,Vivica A. Fox,1
3,6,Vivica A. Fox,1
3,7,Vivica A. Fox,1
3,8,Vivica A. Fox,1
3,9,Vivica A. Fox,1
3,10,Vivica A. Fox,1
3,1,Willa Ford,0
3,2,Willa Ford,0
3,3,Willa Ford,0
3,4,Willa Ford,0
3,5,Willa Ford,0
3,6,Willa Ford,1
3,7,Willa Ford,1
3,8,Willa Ford,1
3,9,Willa Ford,1
3,10,Willa Ford,1
4,1,Apolo Anton Ohno,0
4,2,Apolo Anton Ohno,0
