celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry,celebrity_age,season,results,placement,week,judge1_score,judge2_score,judge3_score,judge4_score,raw_total_score,judge_variance,is_active,row_judge_count,week_valid_judge_count,max_possible_score,normalized_score,is_eliminated,elimination_week,final_rank,is_eliminated_this_week,industry_category,is_athlete,is_actor,is_singer,is_model,is_reality,partner_avg_rank,partner_seasons_count,weeks_survived,score_improvement,prev_avg_score,score_consistency,score_z_score,contestants_remaining,season_progress,age_group,is_us_celebrity,voting_scheme,judge_rank,judge_share,judge_contribution
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,1,5.0,7.0,6.0,,18.0,1.0,True,3,3,30,0.6,True,3.0,5,False,Sports,0,0,0,0,0,7.495238095238095,11,1,0.0,,0.0,-0.06140634384863414,6,0.16666666666666666,40-50,True,rank_based,4.0,0.1651376146788991,-4.0
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,2,5.0,4.0,5.0,,14.0,0.5773502691896258,True,3,3,30,0.4666666666666667,True,3.0,5,False,Sports,0,0,0,0,0,7.495238095238095,11,2,-0.1333333333333333,0.6,0.0,-1.3870232926631425,6,0.3333333333333333,40-50,True,rank_based,6.0,0.11570247933884298,-6.0
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,3,5.0,4.0,4.0,,13.0,0.5773502691896258,True,3,3,30,0.43333333333333335,True,3.0,5,True,Sports,0,0,0,0,0,7.495238095238095,11,3,-0.033333333333333326,0.5333333333333333,0.09428090415820632,-1.649929455000344,5,0.5,40-50,True,rank_based,5.0,0.12264150943396226,-5.0
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,4,0.0,0.0,0.0,,0.0,0.0,False,3,3,30,,True,3.0,5,False,Sports,0,0,0,0,0,7.495238095238095,11,4,0.0,0.5,0.08819171036881966,,4,0.6666666666666666,40-50,True,rank_based,5.0,0.0,-5.0
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,5,0.0,0.0,0.0,,0.0,0.0,False,3,3,30,,True,3.0,5,False,Sports,0,0,0,0,0,7.495238095238095,11,5,0.0,0.5,0.08819171036881966,,3,0.8333333333333334,40-50,True,rank_based,4.0,0.0,-4.0
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,6,0.0,0.0,0.0,,0.0,0.0,False,3,3,30,,True,3.0,5,False,Sports,0,0,0,0,0,7.495238095238095,11,6,0.0,0.5,0.08819171036881966,,2,1.0,40-50,True,rank_based,3.0,0.0,-3.0
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,1,7.0,7.0,6.0,,20.0,0.5773502691896258,True,3,3,30,0.6666666666666666,False,,3,False,Music,0,0,0,0,0,7.764705882352941,4,1,0.0,,0.0,0.6754697823349779,6,0.16666666666666666,30-40,True,rank_based,1.0,0.1834862385321101,-1.0
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,2,8.0,7.0,6.0,,21.0,1.0,True,3,3,30,0.7,False,,3,False,Music,0,0,0,0,0,7.764705882352941,4,2,0.033333333333333326,0.6666666666666666,0.0,0.18743558008961397,6,0.3333333333333333,30-40,True,rank_based,3.0,0.17355371900826447,-3.0
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,3,7.0,7.0,8.0,,22.0,0.5773502691896258,True,3,3,30,0.7333333333333333,False,,3,False,Music,0,0,0,0,0,7.764705882352941,4,3,0.033333333333333326,0.6833333333333333,0.02357022603955154,0.16096872731710643,5,0.5,30-40,True,rank_based,3.0,0.20754716981132076,-3.0
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,4,7.0,6.0,7.0,,20.0,0.5773502691896258,True,3,3,30,0.6666666666666666,False,,3,False,Music,0,0,0,0,0,7.764705882352941,4,4,-0.06666666666666665,0.6999999999999998,0.0333333333333333,-1.0190493307301367,4,0.6666666666666666,30-40,True,rank_based,4.0,0.21739130434782608,-4.0
