season,week,victim,victim_score,survivor,survivor_score,score_gap
1,2,Trista Sutter,19.0,Evander Holyfield,14.0,5.0
1,2,Trista Sutter,19.0,Kelly Monaco,17.0,2.0
1,4,Rachel Hunter,25.0,Joey McIntyre,20.0,5.0
1,4,Rachel Hunter,25.0,John O'Hurley,21.0,4.0
2,1,Kenny Mayne,13.0,Master P,12.0,1.0
2,2,Tatum O'Neal,17.0,Master P,16.0,1.0
2,3,Giselle Fernandez,22.0,Jerry Rice,19.0,3.0
2,3,Giselle Fernandez,22.0,Master P,14.0,8.0
2,7,Lisa Rinna,26.5,Jerry Rice,20.5,6.0
3,2,Shanna Moakler,22.0,Harry Hamlin,21.0,1.0
3,2,Shanna Moakler,22.0,Jerry Springer,19.0,3.0
3,2,Shanna Moakler,22.0,Mario Lopez,21.0,1.0
3,2,Shanna Moakler,22.0,Sara Evans,21.0,1.0
3,3,Harry Hamlin,22.0,Emmitt Smith,19.0,3.0
3,3,Harry Hamlin,22.0,Jerry Springer,21.0,1.0
3,4,Vivica A. Fox,24.0,Jerry Springer,22.0,2.0
3,4,Vivica A. Fox,24.0,Sara Evans,20.0,4.0
3,5,Willa Ford,27.0,Jerry Springer,24.0,3.0
3,5,Willa Ford,27.0,Joey Lawrence,25.0,2.0
3,5,Willa Ford,27.0,Sara Evans,24.0,3.0
4,2,Paulina Porizkova,21.0,Clyde Drexler,18.0,3.0
4,2,Paulina Porizkova,21.0,Shandi Finnessey,20.0,1.0
4,3,Shandi Finnessey,21.0,Clyde Drexler,16.0,5.0
4,3,Shandi Finnessey,21.0,John Ratzenberger,20.0,1.0
4,4,Leeza Gibbons,16.0,Clyde Drexler,15.0,1.0
4,6,Heather Mills,23.0,Billy Ray Cyrus,21.0,2.0
4,6,Heather Mills,23.0,John Ratzenberger,19.0,4.0
4,7,John Ratzenberger,22.5,Billy Ray Cyrus,19.0,3.5
5,2,Albert Reed,21.0,Mark Cuban,18.0,3.0
5,2,Albert Reed,21.0,Wayne Newton,15.0,6.0
5,4,Floyd Mayweather Jr. ,23.0,Mark Cuban,22.0,1.0
5,6,Sabrina Bryan,25.0,Jane Seymour,22.0,3.0
5,6,Sabrina Bryan,25.0,Marie Osmond,23.0,2.0
5,8,Cameron Mathison,25.5,Jennie Garth,25.0,0.5
5,8,Cameron Mathison,25.5,Marie Osmond,24.5,1.0
5,9,Jennie Garth,29.0,Marie Osmond,28.0,1.0
6,2,Penn Jillette,17.0,Steve Guttenberg,16.0,1.0
6,3,Steve Guttenberg,21.0,Marissa Jaret Winokur,19.0,2.0
6,7,Shannon Elizabeth,25.5,Cristian de la Fuente,23.0,2.5
6,8,Mario,26.5,Jason Taylor,26.0,0.5
6,8,Mario,26.5,Marissa Jaret Winokur,25.0,1.5
7,1,Ted McGinley,18.5,Cloris Leachman,16.0,2.5
7,1,Ted McGinley,18.5,Rocco DiSpirito,17.5,1.0
7,2,Kim Kardashian,17.0,Cloris Leachman,15.0,2.0
7,2,Kim Kardashian,17.0,Rocco DiSpirito,16.0,1.0
7,5,Toni Braxton,22.0,Cloris Leachman,21.0,1.0
7,5,Toni Braxton,22.0,Lance Bass,21.0,1.0
7,7,Susan Lucci,24.0,Cody Linley,22.0,2.0
7,7,Susan Lucci,24.0,Warren Sapp,21.0,3.0
8,2,Belinda Carlisle,18.0,David Alan Grier,17.0,1.0
8,2,Belinda Carlisle,18.0,Steve Wozniak,17.0,1.0
8,2,Belinda Carlisle,18.0,Steve-O,14.0,4.0
8,3,Denise Richards,16.0,Steve Wozniak,10.0,6.0
8,3,Denise Richards,16.0,Steve-O,15.0,1.0
8,4,Holly Madison,16.0,Steve-O,15.0,1.0
8,5,David Alan Grier,22.0,Lawrence Taylor,20.0,2.0
8,5,David Alan Grier,22.0,Steve-O,18.0,4.0
8,5,David Alan Grier,22.0,Ty Murray,21.0,1.0
8,8,Chuck Wicks,25.5,Melissa Rycroft,23.0,2.5
8,9,Lil' Kim,26.0,Ty Murray,23.0,3.0
9,3,Debi Mazar,17.0,Michael Irvin,14.0,3.0
9,3,Debi Mazar,17.0,Tom DeLay,15.0,2.0
9,4,Chuck Liddell,17.0,Louie Vito,16.0,1.0
9,4,Chuck Liddell,17.0,Michael Irvin,16.0,1.0
9,5,Natalie Coughlin,22.0,Michael Irvin,21.0,1.0
9,6,Louie Vito,24.0,Michael Irvin,21.9998,2.0001999999999995
9,6,Melissa Joan Hart,23.9999,Michael Irvin,21.9998,2.0000999999999998
9,9,Joanna Krupa,27.0,Donny Osmond,24.666600000000003,2.3333999999999975
9,9,Joanna Krupa,27.0,Kelly Osbourne,25.9998,1.0001999999999995
10,2,Shannen Doherty,20.0,Aiden Turner,19.0,1.0
10,2,Shannen Doherty,20.0,Buzz Aldrin,12.0,8.0
10,2,Shannen Doherty,20.0,Chad Ochocinco,16.0,4.0
10,2,Shannen Doherty,20.0,Kate Gosselin,15.0,5.0
10,4,Aiden Turner,16.5,Kate Gosselin,16.0,0.5
10,7,Pamela Anderson,25.5,Niecy Nash,24.5,1.0
11,5,Florence Henderson,21.0,Bristol Palin,18.0,3.0
11,5,Florence Henderson,21.0,Kyle Massey,20.0,1.0
11,6,Audrina Patridge,31.9998,Bristol Palin,27.9998,4.0
11,6,Audrina Patridge,31.9998,Jennifer Grey,29.0,2.9998000000000005
11,6,Audrina Patridge,31.9998,Kurt Warner,21.9999,9.9999
11,6,Audrina Patridge,31.9998,Kyle Massey,29.999899999999997,1.9999000000000038
11,6,Audrina Patridge,31.9998,Rick Fox,30.0,1.9998000000000005
11,7,Rick Fox,34.5,Bristol Palin,32.5,2.0
11,7,Rick Fox,34.5,Kyle Massey,33.5,1.0
11,8,Kurt Warner,24.0,Bristol Palin,23.5,0.5
11,9,Brandy,28.5,Bristol Palin,26.5,2.0
12,4,Sugar Ray Leonard,21.0,Kendra Wilkinson,18.0,3.0
12,7,Kendra Wilkinson,30.5,Kirstie Alley,30.0,0.5
12,7,Kendra Wilkinson,30.5,Romeo,30.0,0.5
12,8,Romeo,26.0,Ralph Macchio,23.0,3.0
13,2,Elisabetta Canalis,21.0,Carson Kressley,18.0,3.0
13,2,Elisabetta Canalis,21.0,Chaz Bono,17.0,4.0
13,2,Elisabetta Canalis,21.0,David Arquette,18.0,3.0
13,2,Elisabetta Canalis,21.0,Hope Solo,19.0,2.0
13,3,Kristin Cavallari,24.0,Carson Kressley,23.0,1.0
13,3,Kristin Cavallari,24.0,Chaz Bono,18.0,6.0
13,3,Kristin Cavallari,24.0,Nancy Grace,21.0,3.0
13,4,Chynna Phillips,21.0,Carson Kressley,20.0,1.0
13,7,David Arquette,23.5,Nancy Grace,22.0,1.5
14,4,Sherri Sheperd,21.0,Gladys Knight,20.0,1.0
14,7,Jaleel White,25.5,Melissa Gilbert,23.5,2.0
14,8,Roshon Fegan,28.0,Donald Driver,27.5,0.5
14,8,Roshon Fegan,28.0,Katherine Jenkins,27.5,0.5
14,8,Roshon Fegan,28.0,Maria Menounos,26.5,1.5
14,9,Maria Menounos,29.5,Donald Driver,28.5,1.0
14,9,Maria Menounos,29.5,Katherine Jenkins,28.0,1.5
14,9,Maria Menounos,29.5,William Levy,29.0,0.5
15,2,Joey Fatone,22.5,Bristol Palin,18.0,4.5
15,2,Joey Fatone,22.5,Kelly Monaco,22.0,0.5
15,2,Joey Fatone,22.5,Kirstie Alley,21.0,1.5
15,3,Drew Lachey,24.0,Bristol Palin,22.5,1.5
15,3,Helio Castroneves,25.5,Bristol Palin,22.5,3.0
15,3,Helio Castroneves,25.5,Emmitt Smith,25.0,0.5
15,3,Helio Castroneves,25.5,Kirstie Alley,24.0,1.5
15,4,Bristol Palin,32.0,Kirstie Alley,30.0,2.0
15,6,Sabrina Bryan,30.0,Emmitt Smith,26.5,3.5
15,6,Sabrina Bryan,30.0,Gilles Marini,27.5,2.5
15,6,Sabrina Bryan,30.0,Kelly Monaco,27.0,3.0
15,6,Sabrina Bryan,30.0,Kirstie Alley,27.5,2.5
15,6,Sabrina Bryan,30.0,Melissa Rycroft,29.5,0.5
15,6,Sabrina Bryan,30.0,Shawn Johnson,28.0,2.0
15,8,Gilles Marini,29.2777,Emmitt Smith,29.0554,0.2223000000000006
15,8,Gilles Marini,29.2777,Kelly Monaco,28.3333,0.9443999999999981
15,8,Gilles Marini,29.2777,Shawn Johnson,27.8333,1.4443999999999981
15,9,Apolo Anton Ohno,28.611,Kelly Monaco,27.110999999999997,1.5000000000000036
16,10,Alexandra Raisman,29.0,Jacoby Jones,27.999899999999997,1.0001000000000033
17,2,Keyshawn Johnson,18.0,Bill Nye,17.0,1.0
17,5,Christina Milian,28.0,Amber Riley,26.0,2.0
17,5,Christina Milian,28.0,Bill Engvall,24.0,4.0
17,5,Christina Milian,28.0,Brant Daugherty,27.0,1.0
17,5,Christina Milian,28.0,Elizabeth Berkley Lauren,26.0,2.0
17,5,Christina Milian,28.0,Jack Osbourne,27.0,1.0
17,5,Christina Milian,28.0,Leah Remini,22.0,6.0
17,5,Christina Milian,28.0,"Nicole ""Snooki"" Polizzi",27.0,1.0
17,7,"Nicole ""Snooki"" Polizzi",27.0,Bill Engvall,25.0,2.0
17,7,"Nicole ""Snooki"" Polizzi",27.0,Leah Remini,26.5,0.5
17,8,Brant Daugherty,27.0,Bill Engvall,24.0,3.0
17,8,Brant Daugherty,27.0,Elizabeth Berkley Lauren,25.0,2.0
17,9,Elizabeth Berkley Lauren,28.0,Amber Riley,25.5,2.5
17,9,Elizabeth Berkley Lauren,28.0,Bill Engvall,21.0,7.0
17,9,Elizabeth Berkley Lauren,28.0,Jack Osbourne,27.0,1.0
17,9,Elizabeth Berkley Lauren,28.0,Leah Remini,27.0,1.0
17,10,Leah Remini,32.5,Bill Engvall,30.0,2.5
18,2,Sean Avery,21.0,Billy Dee Williams,15.0,6.0
18,5,Cody Simpson,34.0,Drew Carey,28.0,6.0
18,8,Danica McKellar,38.0,Candace Cameron Bure,36.0,2.0
18,8,Danica McKellar,38.0,James Maslow,36.0,2.0
18,8,Danica McKellar,38.0,Meryl Davis,36.0,2.0
18,9,Charlie White,38.0,Candace Cameron Bure,36.0,2.0
18,10,James Maslow,29.0,Candace Cameron Bure,25.9998,3.0001999999999995
19,1,Lolo Jones,22.0,Betsey Johnson,20.0,2.0
19,2,Tavis Smiley,28.0,Michael Waltrip,24.0,4.0
19,4,Betsey Johnson,29.0,Jonathan Bennett,24.0,5.0
19,4,Betsey Johnson,29.0,Michael Waltrip,25.0,4.0
19,4,Betsey Johnson,29.0,Tommy Chong,28.0,1.0
19,6,Jonathan Bennett,32.0,Antonio Sabato Jr.,28.0,4.0
19,6,Jonathan Bennett,32.0,Michael Waltrip,30.0,2.0
19,6,Jonathan Bennett,32.0,Tommy Chong,28.0,4.0
19,7,Antonio Sabato Jr.,29.5,Michael Waltrip,28.0,1.5
19,9,Lea Thompson,35.0,Tommy Chong,28.5,6.5
20,2,Redfoo,31.0,Charlotte McKinney,26.0,5.0
20,2,Redfoo,31.0,Chris Soules,21.0,10.0
20,2,Redfoo,31.0,Michael Sam,28.0,3.0
20,2,Redfoo,31.0,Noah Galloway,27.0,4.0
20,2,Redfoo,31.0,Patti LaBelle,28.0,3.0
