Season,Week,Contestant,Judge Rank (Top),Est. Fan Vote,CI Lower,CI Upper
1,3,Evander Holyfield,1.0,3.832208293153327,2.0,5.0
2,5,Tia Carrere,1.0,5.125344008006005,3.0,6.0
2,4,Master P,1.0,5.838426853707415,3.0,7.0
2,6,George Hamilton,1.0,4.272964015151516,3.0,5.0
3,5,Willa Ford,1.0,0.0207039647591911,0.0007169808398288,0.0680331771054076
14,9,Maria Menounos,1.0,0.0610491879992644,0.0019106181910753,0.1725060722656638
17,5,Christina Milian,1.0,0.0112644151759679,0.0002132462561869,0.0356517358422999
20,9,Nastia Liukin,1.0,0.0636993479651845,0.0020675370451981,0.1801313135991011
21,11,Carlos PenaVega,1.0,0.0618641083724206,0.0015637194862234,0.1737769819090401
22,8,Jodie Sweetin,1.0,0.0259032606889695,0.0005854747001588,0.0846427385036205
23,10,Terra Jole,1.0,0.0377943605970355,0.0011965381745467,0.1105256649069307
22,9,Wanya Morris,1.0,0.0627405318529861,0.0018820413463756,0.1669469551622817
21,9,Alexa PenaVega,1.0,0.0247794858367494,0.0005002553615978,0.080625312953097
15,6,Sabrina Bryan,1.0,0.014725889047705,0.0003474053147976,0.0476071752165865
32,3,Tyson Beckford,1.0,8.818012035692051,4.0,12.0
