season,week,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,results,placement,judge1_score,judge2_score,judge3_score,judge4_score,raw_total_score,is_active,row_valid_judge_count,week_valid_judge_count,max_possible_score,normalized_score
29,1,AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42,Eliminated Week 9,7,6.0,6.0,6.0,,18.0,True,3,3.0,30.0,0.6
29,2,AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42,Eliminated Week 9,7,7.0,6.0,6.0,,19.0,True,3,3.0,30.0,0.6333333333333333
29,3,AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42,Eliminated Week 9,7,7.0,7.0,7.0,,21.0,True,3,3.0,30.0,0.7
29,4,AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42,Eliminated Week 9,7,8.0,8.0,8.0,,24.0,True,3,3.0,30.0,0.8
29,5,AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42,Eliminated Week 9,7,8.0,8.0,8.0,,24.0,True,3,3.0,30.0,0.8
29,6,AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42,Eliminated Week 9,7,9.0,9.0,9.0,,27.0,True,3,3.0,30.0,0.9
29,7,AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42,Eliminated Week 9,7,9.0,8.0,9.0,,26.0,True,3,3.0,30.0,0.8666666666666667
29,8,AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42,Eliminated Week 9,7,9.0,9.0,9.0,,27.0,True,3,3.0,30.0,0.9
29,9,AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42,Eliminated Week 9,7,7.6666,8.6666,8.6666,,24.9998,True,3,3.0,30.0,0.8333266666666667
29,10,AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42,Eliminated Week 9,7,0.0,0.0,0.0,,0.0,False,3,3.0,30.0,
29,11,AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42,Eliminated Week 9,7,0.0,0.0,0.0,,0.0,False,3,3.0,30.0,
9,1,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,Eliminated Week 8,5,10.3333,11.3333,10.3333,,31.999899999999997,True,3,3.0,30.0,1.0666633333333333
9,2,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,Eliminated Week 8,5,9.0,9.0,9.0,,27.0,True,3,3.0,30.0,0.9
9,3,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,Eliminated Week 8,5,8.0,6.0,7.0,,21.0,True,3,3.0,30.0,0.7
9,4,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,Eliminated Week 8,5,6.0,6.0,6.0,,18.0,True,3,3.0,30.0,0.6
9,5,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,Eliminated Week 8,5,8.0,8.0,8.0,,24.0,True,3,3.0,30.0,0.8
9,6,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,Eliminated Week 8,5,10.6666,11.6666,10.6666,,32.9998,True,3,3.0,30.0,1.0999933333333334
9,7,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,Eliminated Week 8,5,8.5,9.0,9.0,,26.5,True,3,3.0,30.0,0.8833333333333333
9,8,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,Eliminated Week 8,5,8.0,8.5,8.5,,25.0,True,3,3.0,30.0,0.8333333333333334
9,9,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,Eliminated Week 8,5,0.0,0.0,0.0,,0.0,False,3,3.0,30.0,
9,10,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,Eliminated Week 8,5,0.0,0.0,0.0,,0.0,False,3,3.0,30.0,
6,1,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,Eliminated Week 4,9,5.0,5.0,5.0,,15.0,True,3,3.0,30.0,0.5
6,2,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,Eliminated Week 4,9,6.0,7.0,6.0,,19.0,True,3,3.0,30.0,0.6333333333333333
6,3,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,Eliminated Week 4,9,7.0,7.0,7.0,,21.0,True,3,3.0,30.0,0.7
6,4,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,Eliminated Week 4,9,6.0,7.0,6.0,,19.0,True,3,3.0,30.0,0.6333333333333333
6,5,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,Eliminated Week 4,9,0.0,0.0,0.0,,0.0,False,3,3.0,30.0,
6,6,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,Eliminated Week 4,9,0.0,0.0,0.0,,0.0,False,3,3.0,30.0,
6,7,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,Eliminated Week 4,9,0.0,0.0,0.0,,0.0,False,3,3.0,30.0,
6,8,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,Eliminated Week 4,9,0.0,0.0,0.0,,0.0,False,3,3.0,30.0,
6,9,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,Eliminated Week 4,9,0.0,0.0,0.0,,0.0,False,3,3.0,30.0,
6,10,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,Eliminated Week 4,9,0.0,0.0,0.0,,0.0,False,3,3.0,30.0,
