season,week,celebrity_name,rule_type,judge_raw,judge_metric,fan_vote_mean,fan_vote_share_pct,ci_low,ci_high,abc_accept_rate,feasible_min,feasible_max,slack_min,is_noisy,week_type,n_active,is_eliminated_this_week
1,1,Evander Holyfield,rank,18.0,3.0,2.9926,20.04442156581227,1.0,5.0,1.0,1.0,5.0,0.0,False,no_elimination,5,False
1,1,Joey McIntyre,rank,20.0,1.0,3.0035,19.978983357073695,1.0,5.0,1.0,1.0,5.0,0.0,False,no_elimination,5,False
1,1,John O'Hurley,rank,20.0,2.0,3.004,19.975986734322458,1.0,5.0,1.0,1.0,5.0,0.0,False,no_elimination,5,False
1,1,Kelly Monaco,rank,13.0,5.0,2.994,20.036004676425126,1.0,5.0,1.0,1.0,5.0,0.0,False,no_elimination,5,False
1,1,Trista Sutter,rank,18.0,4.0,3.0059,19.964603666366454,1.0,5.0,1.0,1.0,5.0,0.0,False,no_elimination,5,False
1,2,Evander Holyfield,rank,14.0,5.0,1.4561170212765957,30.027655516912727,1.0,2.0,0.0752,1.0,3.0,0.0,False,single_elimination,5,False
1,2,Joey McIntyre,rank,21.0,2.0,3.113031914893617,18.26605354188985,1.0,4.0,0.0752,1.0,5.0,0.0,False,single_elimination,5,False
1,2,John O'Hurley,rank,26.0,1.0,3.297872340425532,17.280733524992502,1.0,5.0,0.0752,1.0,5.0,0.0,False,single_elimination,5,False
1,2,Kelly Monaco,rank,17.0,4.0,2.24468085106383,23.701768334944816,1.0,3.0,0.0752,1.0,4.0,0.0,False,single_elimination,5,False
1,2,Trista Sutter,rank,19.0,3.0,4.888297872340425,10.723789081260108,4.0,5.0,0.0752,3.0,5.0,0.0,False,single_elimination,5,True
1,3,Evander Holyfield,rank,13.0,4.0,2.9921963677639045,20.376020475299853,1.0,4.0,0.7048,1.0,4.0,0.0,False,single_elimination,4,True
1,3,Joey McIntyre,rank,22.0,2.0,2.394438138479001,25.879781693578423,1.0,4.0,0.7048,1.0,4.0,0.0,False,single_elimination,4,False
1,3,John O'Hurley,rank,24.0,1.0,2.4843927355278095,24.965133600352505,1.0,4.0,0.7048,1.0,4.0,0.0,False,single_elimination,4,False
1,3,Kelly Monaco,rank,21.0,3.0,2.128972758229285,28.77906423076923,1.0,4.0,0.7048,1.0,4.0,0.0,False,single_elimination,4,False
1,4,Joey McIntyre,rank,20.0,3.0,1.9957,33.41936268818907,1.0,3.0,1.0,1.0,3.0,0.0,False,no_elimination,3,False
1,4,John O'Hurley,rank,21.0,2.0,1.9996,33.34125280370509,1.0,3.0,1.0,1.0,3.0,0.0,False,no_elimination,3,False
1,4,Kelly Monaco,rank,26.0,1.0,2.0047,33.23938450810583,1.0,3.0,1.0,1.0,3.0,0.0,False,no_elimination,3,False
1,5,Joey McIntyre,rank,22.5,3.0,2.0175,32.984217395105894,1.0,3.0,1.0,1.0,3.0,0.0,False,no_elimination,3,False
1,5,John O'Hurley,rank,27.0,1.0,1.9881,33.57122114160186,1.0,3.0,1.0,1.0,3.0,0.0,False,no_elimination,3,False
1,5,Kelly Monaco,rank,23.5,2.0,1.9944,33.44456146329225,1.0,3.0,1.0,1.0,3.0,0.0,False,no_elimination,3,False
1,6,John O'Hurley,rank,27.0,2.0,1.4943,50.34199466654141,1.0,2.0,1.0,1.0,2.0,0.0,False,no_elimination,2,False
1,6,Kelly Monaco,rank,27.5,1.0,1.5057,49.65800533345858,1.0,2.0,1.0,1.0,2.0,0.0,False,no_elimination,2,False
2,1,Drew Lachey,rank,24.0,1.0,4.895055499495459,11.15236338006296,1.0,9.0,0.2973,1.0,9.0,0.0,False,single_elimination,9,False
2,1,George Hamilton,rank,18.0,7.0,3.877564749411369,12.991236961661826,1.0,8.0,0.2973,1.0,9.0,0.0,False,single_elimination,9,False
2,1,Jerry Rice,rank,21.0,4.0,4.906828119744366,11.132686877632814,1.0,9.0,0.2973,1.0,9.0,0.0,False,single_elimination,9,False
