season,week,rule_type,n_active,abc_accept_rate,judge_fan_disagreement,spearman_corr
18,2,percent,9,0.0,,
28,6,rank,9,0.0026,1.836827408755723,-0.836827408755723
33,4,rank,9,0.0351,1.8833333333333333,-0.8833333333333333
33,6,rank,7,0.038,1.75,-0.75
25,2,percent,10,0.0383,1.3119397334524687,-0.31193973345246884
23,4,percent,10,0.0394,1.0123091490979332,-0.012309149097933273
34,4,rank,10,0.0416,1.7333333333333334,-0.7333333333333333
26,2,percent,8,0.043,1.2545875386086578,-0.2545875386086578
27,4,percent,8,0.0448,1.9341484842923422,-0.9341484842923421
20,2,percent,10,0.0464,1.7766372461340039,-0.776637246134004
22,7,percent,8,0.0465,1.1752191610126157,-0.17521916101261562
7,1,percent,13,0.0487,1.2545012450114692,-0.2545012450114692
9,1,percent,14,0.0493,1.2119225952431714,-0.2119225952431713
